x;y;NP_Aout2012;NP_Avril2013;AquifèreCapté
679739.76;6167578.36;105.15;104.87;Pliocène
701807.83;6184866.62;1.31;2.9;Pliocène
702461.671;6161137.594;3.505;4.9;Quaternaire
703370.62;6162505.113;0.218;0.79;Quaternaire
704003.125;6160921.446;0.288;0.38;Quaternaire
701946.746;6161319.85;3.778;5.9;Quaternaire
699482.128;6164750.111;4.857;5.66;Quaternaire
701517.554;6160771.33;5.762;8.5;Quaternaire
666426.34;6173071.44;167.139;170.69;Quaternaire
692054.791;6163084.193;32.803;34.43;Quaternaire
684521.884;6172888.418;67.899;68.31;Quaternaire
695689.936;6179242.276;10.356;10.66;Quaternaire
696343.83;6182518.39;6.256;6.86;Quaternaire
695720.44;6183206.1;5.934;6.93;Quaternaire
677859.161;6177590.335;80.636;81.36;Quaternaire
699339.228;6166038.215;4.844;5.43;Quaternaire
701260.787;6165725.738;2.219;2.48;Quaternaire
685896.359;6186882.384;23.138;23.68;Quaternaire
686677.767;6186422.525;26.041;27.95;Quaternaire
669658.29;6175469.13;127.219;127.76;Quaternaire
671130.87;6174428;126.948;128.46;Quaternaire
671911.41;6174982.93;120.279;121.48;Quaternaire
669560.38;6173842.349;;143.62;Quaternaire
700510.3;6166930.29;2.557;3.46;Quaternaire
695062.608;6157801.804;96.31;96.31;Quaternaire
682065.887;6175411.794;73.169;73.52;Quaternaire
682904.33;6173748.93;73.155;73.62;Quaternaire
671760.1;6176798.78;113.793;114.38;Quaternaire
696481.031;6163405.095;18.972;19.6;Quaternaire
696642.68;6164371.648;16.299;16.87;Quaternaire
692618.24;6179865.66;16.798;17.24;Quaternaire
699176.51;6179066.28;3.535;4.15;Quaternaire
693143.125;6179109.894;16.048;16.22;Quaternaire
693320.886;6178893.94;15.865;16.13;Quaternaire
680658.515;6177089.765;66.075;66.52;Quaternaire
681902.952;6176722.429;59.593;60.34;Quaternaire
679907.671;6177315.609;69.891;69.79;Quaternaire
691473.71;6184480.395;11.868;13.4;Quaternaire
693289.33;6182474.13;15.694;15.86;Quaternaire
689225.287;6170877.902;;41.76;Quaternaire
689446.722;6185295.258;18.75;19.76;Quaternaire
698602.667;6161386.451;28.35;31.87;Quaternaire
697841.891;6161342.164;31.28;31.57;Quaternaire
687072.142;6178775.494;;40.86;Quaternaire
688890.687;6178811.046;30.96;31.12;Quaternaire
687256.438;6177392.637;35.96;36.06;Quaternaire
677535.31;6174811.95;95.21;95.41;Quaternaire
678089.83;6176174.78;77.61;77.43;Quaternaire
692855.03;6161784.01;37.61;39.04;Quaternaire
693532.16;6160430.64;;49.8;Quaternaire
695893.33;6188264.03;1.34;1.78;Quaternaire
697831.18;6188265.321;0.05;0.46;Quaternaire
697551.448;6187104.357;1;1.71;Quaternaire
682458.329;6157839.18;106.2;109.51;Quaternaire
684604.823;6157302.002;75.43;75.52;Quaternaire
682494.555;6157235.036;109.97;111;Quaternaire
699192.044;6185207.739;1.75;2.45;Quaternaire
699496.159;6186581.209;0.66;1.47;Quaternaire
699736.27;6188309.45;0.21;0.68;Quaternaire
700245.74;6187359.69;0.26;0.83;Quaternaire
668461.96;6172983.361;150.31;153.52;Quaternaire
702852.131;6182163.205;0.27;0.59;Quaternaire
681408.678;6167445.217;102.67;103.65;Quaternaire
694802.79;6172449.36;14.68;15.66;Quaternaire
695991.52;6170883.54;10.38;11.58;Quaternaire
682733.285;6172401.309;75.19;75.28;Quaternaire
701868.23;6182572.13;0.75;1.37;Quaternaire
686014.419;6175537.763;54.51;55.24;Quaternaire
684284.583;6168129.478;78.68;80.67;Quaternaire
685513.011;6168561.534;70.01;70.49;Quaternaire
697782.84;6181040.76;5.36;6.2;Quaternaire
698786.169;6179457.836;4.58;4.9;Quaternaire
686539.258;6166254.587;85.15;86.12;Quaternaire
698162.722;6171184.548;5.78;6.47;Quaternaire
674182.809;6176282.71;103.61;104.13;Quaternaire
693831.885;6163348.227;23.83;24.14;Quaternaire
696088.17;6186626.748;2.08;2.73;Quaternaire
702578.859;6190597.607;0.21;0.46;Quaternaire
694311.33;6160661.29;43.89;44.48;Quaternaire
699413.961;6183570.616;1.32;;Quaternaire
