time,ROW: 75/COL: 75,ROW: 90/COL: 80,ROW: 110/COL: 90
24364801.00000,74.00993176,51.31334504,57.47338724
24883201.00000,74.20785162,51.52018434,57.58546704
25401601.00000,74.40953593,51.70749744,57.69998674
25920001.00000,74.61298221,51.87781845,57.81715780
26438401.00000,74.68782426,51.91135566,57.84837799
26956801.00000,74.75421396,51.94557165,57.88553964
27475201.00000,74.81513288,51.98082903,57.92714883
27993601.00000,74.87256324,52.01639625,57.97180494
28512001.00000,74.92780514,52.05154562,58.01859346
29030401.00000,74.96270393,52.06765695,58.05378049
29548801.00000,74.99567426,52.08453112,58.09059370
30067201.00000,75.02749525,52.10184090,58.12854619
30585601.00000,75.05864496,52.11922966,58.16723998
31104001.00000,75.08943155,52.13643458,58.20640785
31622401.00000,75.10187530,52.13593932,58.23329768
32140801.00000,75.11321994,52.13686147,58.26085246
32659201.00000,75.12391672,52.13897169,58.28872898
33177601.00000,75.13432328,52.14194035,58.31672617
33696001.00000,75.14469345,52.14550547,58.34479934
34214401.00000,75.13443389,52.12665673,58.35838549
34732801.00000,75.12306164,52.10864350,58.37217061
35251201.00000,75.11112274,52.09242564,58.38583807
35769601.00000,75.09891544,52.07808598,58.39931802
36288001.00000,75.08668800,52.06546579,58.41257313
36806401.00000,75.06828269,52.04835329,58.42096431
37324801.00000,75.04964661,52.03309962,58.42894720
37843201.00000,75.03096748,52.01946827,58.43649707
38361601.00000,75.01239793,52.00722346,58.44359283
38880001.00000,74.99393726,51.99614101,58.45025804
39398401.00000,75.02721237,52.02527864,58.49229534
39916801.00000,75.06366096,52.04491113,58.53159606
40435201.00000,75.10207283,52.05942786,58.56831032
40953601.00000,75.14172111,52.07120001,58.60280639
41472001.00000,75.18214652,52.08135425,58.63538162
41990401.00000,75.19830167,52.05904115,58.64843267
42508801.00000,75.21333509,52.03466677,58.66008889
43027201.00000,75.22771663,52.01127484,58.67024215
43545601.00000,75.24171204,51.98987748,58.67881873
44064001.00000,75.25548999,51.97057427,58.68593332
44582401.00000,75.17955993,51.84368169,58.62696477
45100801.00000,75.09836430,51.71575878,58.56813807
45619201.00000,75.01402728,51.59530243,58.50837903
46137601.00000,74.92721264,51.48462032,58.44651032
46656001.00000,74.83865856,51.38341460,58.38207655
47174401.00000,74.70225359,51.23198262,58.28250463
47692801.00000,74.56217085,51.08553623,58.18082309
48211201.00000,74.41998792,50.94853189,58.07664447
48729601.00000,74.27664009,50.82184573,57.96980263
49248001.00000,74.13270283,50.70485928,57.86045091
49766401.00000,74.05088603,50.65549483,57.79146886
50284801.00000,73.97316196,50.60754998,57.71891858
50803201.00000,73.89789924,50.56077050,57.64371191
51321601.00000,73.82416125,50.51545381,57.56675206
51840001.00000,73.75126679,50.47183590,57.48861794
52358401.00000,73.74292868,50.53916765,57.45559155
52876801.00000,73.73907259,50.62610017,57.42409114
53395201.00000,73.73780966,50.71386017,57.39602622
53913601.00000,73.73797571,50.79551739,57.37259181
54432001.00000,73.73885691,50.86963482,57.35419492
54950401.00000,73.91874269,51.11612272,57.46316317
55468801.00000,74.11039974,51.34329509,57.57234575
55987201.00000,74.30886918,51.54928485,57.68301782
56505601.00000,74.51107179,51.73579987,57.79613498
57024001.00000,74.71448142,51.90536602,57.91191347
57542401.00000,74.78926998,51.93818854,57.94175061
58060801.00000,74.85567473,51.97172961,57.97753966
58579201.00000,74.91672686,52.00634950,58.01778744
59097601.00000,74.97437562,52.04131041,58.06109143
59616001.00000,75.02988796,52.07588442,58.10654083
