time,ROW: 75/COL: 75,ROW: 90/COL: 80,ROW: 110/COL: 90
1.000000000000,75.02838666,51.68254967,58.24185787
518401.0000000,75.03787620,51.70948567,58.24914899
1036801.000000,75.04791688,51.74440535,58.25754177
1555201.000000,75.05828799,51.78026801,58.26752432
2073601.000000,75.06885367,51.81430153,58.27935263
2592001.000000,75.07953480,51.84581057,58.29306215
3110401.000000,75.06963768,51.85197415,58.29414514
3628801.000000,75.05858673,51.85639598,58.29716559
4147201.000000,75.04685631,51.86033459,58.30164942
4665601.000000,75.03477425,51.86416909,58.30716154
5184001.000000,75.02248004,51.86792392,58.31341605
5702401.000000,75.00390614,51.86564072,58.31594136
6220801.000000,74.98488546,51.86380852,58.31904089
6739201.000000,74.96576136,51.86235096,58.32253878
7257601.000000,74.94656182,51.86114306,58.32631153
7776001.000000,74.92737419,51.86009587,58.33027138
8294401.000000,74.95980269,51.89837607,58.36957778
8812801.000000,74.99532086,51.92633938,58.40668382
9331201.000000,75.03273881,51.94846026,58.44177624
9849601.000000,75.07132944,51.96717703,58.47533561
10368001.00000,75.11065318,51.98368584,58.50760083
10886401.00000,75.12565891,51.96719275,58.52061660
11404801.00000,75.13951947,51.94814830,58.53239580
11923201.00000,75.15270182,51.92965871,58.54278485
12441601.00000,75.16548690,51.91276569,58.55168663
12960001.00000,75.17804803,51.89760922,58.55928742
13478401.00000,75.10088765,51.77452306,58.50272290
13996801.00000,75.01846529,51.65011258,58.44575654
14515201.00000,74.93253442,51.53289310,58.38719885
15033601.00000,74.84403409,51.42520529,58.32623396
15552001.00000,74.75394679,51.32678968,58.26262640
16070401.00000,74.61615197,51.17793444,58.16388543
16588801.00000,74.47479834,51.03387949,58.06308847
17107201.00000,74.33140768,50.89907247,57.95983863
17625601.00000,74.18692656,50.77444099,57.85400547
18144001.00000,74.04192918,50.65939471,57.74574245
18662401.00000,73.95909198,50.61183256,57.67790198
19180801.00000,73.88038052,50.56556598,57.60653590
19699201.00000,73.80419249,50.52036492,57.53256734
20217601.00000,73.72954037,50.47651415,57.45686889
20736001.00000,73.65579234,50.43427668,57.38003817
21254401.00000,73.64662305,50.50290511,57.34833827
21772801.00000,73.64197028,50.59105392,57.31818418
22291201.00000,73.63994579,50.67995381,57.29148147
22809601.00000,73.63938519,50.76268183,57.26942112
23328001.00000,73.63957444,50.83780607,57.25240642
23846401.00000,73.81885070,51.08525894,57.36279027
