Code national BSS	Code côte chronique	Côte chronique définie pour le point d'eau	Date de la mesure	Profondeur relative/repère de mesure	Côte NGF	Code continuité	Continuité	Code mode obtention	Mode obtention	Code qualification	Qualification de la mesure	Code statut de la mesure	Statut de la mesure	Code nature de la mesure	Nature de la mesure	Profondeur début site de mesure	Profondeur fin site de mesure	X_WGS84	Y_WGS84	Producteur de données
10962X0075/PZ	2	Profondeur relative	26/04/2016 23:00	8.72	137.03	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	27/04/2016 22:00	8.84	136.91	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	28/04/2016 23:00	9	136.75	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	29/04/2016 22:00	9.11	136.64	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	30/04/2016 14:00	9.18	136.57	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	01/05/2016 00:00	9.16	136.59	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	02/05/2016 00:00	9.12	136.63	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	03/05/2016 00:00	9	136.75	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	04/05/2016 22:00	9.18	136.57	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	05/05/2016 23:00	9.49	136.26	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
