Code national BSS|Code côte chronique|Côte chronique définie pour le point d'eau|Date de la mesure|Profondeur relative/repère de mesure|Côte NGF|Code continuité|Continuité|Code mode obtention|Mode obtention|Code qualification|Qualification de la mesure|Code statut de la mesure|Statut de la mesure|Code nature de la mesure|Nature de la mesure|Profondeur début site de mesure|Profondeur fin site de mesure|X_WGS84|Y_WGS84|Producteur de données|
10907X0129/CONTE|2|Profondeur relative|10/02/2000 00:00:00|13.82|93.37|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|11/02/2000 00:00:00|13.83|93.36|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|12/02/2000 00:00:00|13.85|93.34|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|13/02/2000 00:00:00|13.87|93.32|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|14/02/2000 00:00:00|13.87|93.32|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|15/02/2000 00:00:00|13.89|93.30|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|16/02/2000 00:00:00|13.89|93.30|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|17/02/2000 00:00:00|13.89|93.30|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|18/02/2000 00:00:00|13.90|93.29|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|19/02/2000 00:00:00|13.92|93.27|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|20/02/2000 00:00:00|13.95|93.24|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|21/02/2000 00:00:00|13.98|93.21|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|22/02/2000 00:00:00|13.99|93.20|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|23/02/2000 00:00:00|14.00|93.19|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|24/02/2000 00:00:00|14.02|93.17|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|25/02/2000 00:00:00|14.03|93.16|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|26/02/2000 00:00:00|14.04|93.15|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|27/02/2000 00:00:00|14.06|93.13|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|28/02/2000 00:00:00|14.07|93.12|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|29/02/2000 00:00:00|14.07|93.12|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|01/03/2000 00:00:00|14.07|93.12|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|02/03/2000 00:00:00|14.09|93.10|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|03/03/2000 00:00:00|14.11|93.08|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|04/03/2000 00:00:00|14.12|93.07|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|05/03/2000 00:00:00|14.16|93.03|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|06/03/2000 00:00:00|14.18|93.01|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|07/03/2000 00:00:00|14.20|92.99|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|08/03/2000 00:00:00|14.21|92.98|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|09/03/2000 00:00:00|14.22|92.97|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|10/03/2000 00:00:00|14.23|92.96|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|11/03/2000 00:00:00|14.25|92.94|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|12/03/2000 00:00:00|14.28|92.91|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|13/03/2000 00:00:00|14.30|92.89|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|14/03/2000 00:00:00|14.32|92.87|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|15/03/2000 00:00:00|14.33|92.86|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|16/03/2000 00:00:00|14.36|92.83|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|17/03/2000 00:00:00|14.38|92.81|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|18/03/2000 00:00:00|14.43|92.76|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|19/03/2000 00:00:00|14.48|92.71|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|20/03/2000 00:00:00|14.53|92.66|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|21/03/2000 00:00:00|14.58|92.61|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|22/03/2000 00:00:00|14.57|92.62|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|23/03/2000 00:00:00|14.57|92.62|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|24/03/2000 00:00:00|14.59|92.60|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|25/03/2000 00:00:00|14.61|92.58|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|26/03/2000 00:00:00|14.63|92.56|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|27/03/2000 00:00:00|14.65|92.54|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|28/03/2000 00:00:00|14.67|92.52|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|29/03/2000 00:00:00|14.70|92.49|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|30/03/2000 00:00:00|14.76|92.43|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|31/03/2000 00:00:00|14.78|92.41|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|01/04/2000 00:00:00|14.82|92.37|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|02/04/2000 00:00:00|14.82|92.37|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|03/04/2000 00:00:00|14.80|92.39|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|04/04/2000 00:00:00|14.81|92.38|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|05/04/2000 00:00:00|14.88|92.31|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|06/04/2000 00:00:00|14.94|92.25|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|07/04/2000 00:00:00|14.96|92.23|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|08/04/2000 00:00:00|14.99|92.20|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|09/04/2000 00:00:00|14.99|92.20|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|10/04/2000 00:00:00|14.99|92.20|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|11/04/2000 00:00:00|14.98|92.21|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|12/04/2000 00:00:00|14.99|92.20|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
