Code national BSS;Code cte chronique;Profondeur relative/repre de mesure;Cte NGF;Code continuit;Code mode obtention;Code qualification;Code statut de la mesure;Profondeur dbut site de mesure;Profondeur fin site de mesure;X_WGS84;Y_WGS84;Unnamed: 21
10906X0038/C2-2;2.0;5.363911261834105;101.7060887381654;1.9983043662568885;1.1413028119259574;1.013565069944892;2.397626112759644;31.0;90.80000000000187;2.6854402606841132;42.685867202676164;
10906X0061/BOIS;2.0;5.267098577235757;105.4129014227643;2.0;1.0;1.1402439024390243;2.9065040650406506;;;2.6641245179999475;42.697685730001886;
10907X0129/CONTE;2.0;15.105916743189535;92.08408325681079;1.9990817263544536;1.0021426385062748;1.034282216100398;1.9941842669115397;;;2.721390017834779;42.67387770701594;
10908X0263/FIGUER;2.0;6.599175968237306;47.66082927560097;1.9731065997452992;1.0076410217993856;1.2112517791594877;2.020076410217994;;;2.838467837068268;42.68520376442788;
10908X0394/RIBERA;2.0;2.8694195888754597;58.13058041112446;2.0;1.1614268440145104;1.0;3.0;;;2.7901345902305894;42.68537370551286;
10911X0137/F2;2.0;20.87842365692745;20.95157634307259;1.9943449575871819;1.1079170593779453;1.0438265786993401;2.3296418473138547;41.5;63.0;2.8878943361383254;42.821744831676504;
10911X0219/HIPPO2;2.0;5.013022990379882;2.2191129952714936;1.9538561878362954;1.1677808576553073;1.1252241969672265;2.238382520789173;5.0;9.0;2.95220511664438;42.779150911926855;
10912X0111/BAR4;2.0;2.242990147783245;1.1870098522167467;1.9866995073891625;1.0136699507389162;1.026231527093596;2.1310344827586207;96.0;131.0;3.037976126746515;42.78830394546312;
10912X0112/BAR3;2.0;3.087297398699351;0.6227026013006526;1.9844922461230616;1.0091295647823912;1.287143571785893;2.050775387693847;63.0;73.0;3.0379297440010005;42.78852025680957;
10915X0316/F3;2.0;12.088874742557582;9.001497846845174;1.99850215315484;1.1035386631716908;1.0941771203894401;2.290207826249766;69.0;131.43000000000842;2.9131291730558613;42.73789291342631;
10916X0090/PHARE;2.0;2.6132691859109007;1.2212829484487973;1.989619780732447;1.0699790062981105;1.0636808957312807;2.1657336132493583;60.0;140.0;3.0379384718580122;42.70784625418814;
10962X0074/PZ;2.0;2.3427782225780684;137.77722177742203;1.9983987189751802;1.0848678943154524;1.0;2.0;;;2.6887166666666547;42.65653333333414;
10962X0075/PZ;2.0;11.21261667941851;134.53738332058143;1.994644223412395;1.0;3.318286151491966;1.4544758990053557;;;2.6817998470000615;42.65957309000065;
10963X0059/MEDALU;2.0;49.386200305810306;106.33379969419;1.9909349060725208;1.0797291393621669;1.109654871122761;2.2413717780690257;40.1099999999912;57.29999999999182;2.753386789999498;42.60848357999932;
10964X0119/NYLS-1;2.0;14.38460280373835;54.224010903426894;1.9994158878504673;1.1283099688473521;1.4170560747663552;2.078271028037383;43.0;73.0;2.8440500062501277;42.62901593125007;
10972X0003/ALENYA;2.0;2.735658699277366;5.854341300722609;1.994580322401334;1.0047248471372985;1.160366870483602;2.1192329071706504;;;2.977595850483666;42.640326481757974;
10972X0094/111111;2.0;7.386985100788786;8.853014899211217;2.0;1.312883435582822;2.404031551270815;2.0639789658194565;9.450000000000077;11.450000000000191;2.968452271382802;42.59684357009476;
10972X0137/PONT;2.0;6.390685784359979;8.149314215639984;1.9964154325063672;1.0042448825582493;1.1032921422507311;2.086406942741251;25.5;105.0;2.9854685031178034;42.584073360760435;
